	date	confirmed	deaths	recovered
0	2020-1-22	0	0	0
1	2020-1-23	0	0	0
2	2020-1-24	0	0	0
3	2020-1-25	0	0	0
4	2020-1-26	0	0	0
5	2020-1-27	0	0	0
6	2020-1-28	0	0	0
7	2020-1-29	0	0	0
8	2020-1-30	1	0	0
9	2020-1-31	1	0	0
10	2020-2-1	1	0	0
11	2020-2-2	2	0	0
12	2020-2-3	3	0	0
13	2020-2-4	3	0	0
14	2020-2-5	3	0	0
15	2020-2-6	3	0	0
16	2020-2-7	3	0	0
17	2020-2-8	3	0	0
18	2020-2-9	3	0	0
19	2020-2-10	3	0	0
20	2020-2-11	3	0	0
21	2020-2-12	3	0	0
22	2020-2-13	3	0	0
23	2020-2-14	3	0	0
24	2020-2-15	3	0	0
25	2020-2-16	3	0	3
26	2020-2-17	3	0	3
27	2020-2-18	3	0	3
28	2020-2-19	3	0	3
29	2020-2-20	3	0	3
30	2020-2-21	3	0	3
31	2020-2-22	3	0	3
32	2020-2-23	3	0	3
33	2020-2-24	3	0	3
34	2020-2-25	3	0	3
35	2020-2-26	3	0	3
36	2020-2-27	3	0	3
37	2020-2-28	3	0	3
38	2020-2-29	3	0	3
39	2020-3-1	3	0	3
40	2020-3-2	5	0	3
41	2020-3-3	5	0	3
42	2020-3-4	28	0	3
43	2020-3-5	30	0	3
44	2020-3-6	31	0	3
45	2020-3-7	34	0	3
46	2020-3-8	39	0	3
47	2020-3-9	43	0	3
48	2020-3-10	56	0	4
49	2020-3-11	62	1	4
50	2020-3-12	73	1	4
51	2020-3-13	82	2	4
52	2020-3-14	102	2	4
53	2020-3-15	113	2	13
54	2020-3-16	119	2	13
55	2020-3-17	142	3	14
56	2020-3-18	156	3	14
57	2020-3-19	194	4	15
58	2020-3-20	244	5	20
59	2020-3-21	330	4	23
60	2020-3-22	396	7	27
61	2020-3-23	499	10	27
62	2020-3-24	536	10	40
63	2020-3-25	657	12	43
64	2020-3-26	727	20	45
65	2020-3-27	887	20	73
66	2020-3-28	987	24	84
67	2020-3-29	1024	27	95
68	2020-3-30	1251	32	102
69	2020-3-31	1397	35	123
70	2020-4-1	1998	58	148
71	2020-4-2	2543	72	191
72	2020-4-3	2567	72	192
